id,image_name,file_name,status,url
1,ad6517af-6e93-404f-a7f0-63c2d831b08f-ad6517af-6e93-404f-a7f0-63c2d831b08f,1.png,True,https://cdn.customily.com/product-images/ad6517af-6e93-404f-a7f0-63c2d831b08f-ad6517af-6e93-404f-a7f0-63c2d831b08f.png
2,987e7591-fbc9-43e1-a7bf-54547b60c09e-987e7591-fbc9-43e1-a7bf-54547b60c09e,2.png,True,https://cdn.customily.com/product-images/987e7591-fbc9-43e1-a7bf-54547b60c09e-987e7591-fbc9-43e1-a7bf-54547b60c09e.png
3,d5ba696e-be02-4-d47c5738-4901-4ffb-96a1-3ae9a929d411,3.jpg,True,https://cdn.customily.com/product-images/d5ba696e-be02-4-d47c5738-4901-4ffb-96a1-3ae9a929d411.jpg
4,035d1dad-9ec7-4dc0-ba34-61dfb53293f4-035d1dad-9ec7-4dc0-ba34-61dfb53293f4,4.png,True,https://cdn.customily.com/product-images/035d1dad-9ec7-4dc0-ba34-61dfb53293f4-035d1dad-9ec7-4dc0-ba34-61dfb53293f4.png
5,85cd8edf-ef6f-438b-b634-c792006ab634-85cd8edf-ef6f-438b-b634-c792006ab634,5.png,True,https://cdn.customily.com/product-images/85cd8edf-ef6f-438b-b634-c792006ab634-85cd8edf-ef6f-438b-b634-c792006ab634.png
6,b166c6bb-98a5-4db0-a832-51633feb2408-b166c6bb-98a5-4db0-a832-51633feb2408,6.png,True,https://cdn.customily.com/product-images/b166c6bb-98a5-4db0-a832-51633feb2408-b166c6bb-98a5-4db0-a832-51633feb2408.png
7,76361575-29ed-4d6d-9f7f-07706cb6f70a-76361575-29ed-4d6d-9f7f-07706cb6f70a,7.png,True,https://cdn.customily.com/product-images/76361575-29ed-4d6d-9f7f-07706cb6f70a-76361575-29ed-4d6d-9f7f-07706cb6f70a.png
8,95b4126e-2406-4f07-a6e5-7059f058825a-95b4126e-2406-4f07-a6e5-7059f058825a,8.png,True,https://cdn.customily.com/product-images/95b4126e-2406-4f07-a6e5-7059f058825a-95b4126e-2406-4f07-a6e5-7059f058825a.png
9,9273182b-734b-4ec3-89a0-9fab1f25f3e3-9273182b-734b-4ec3-89a0-9fab1f25f3e3,9.png,True,https://cdn.customily.com/product-images/9273182b-734b-4ec3-89a0-9fab1f25f3e3-9273182b-734b-4ec3-89a0-9fab1f25f3e3.png
10,3b0e01de-45f0-428d-a8e4-6ccda88ea467-3b0e01de-45f0-428d-a8e4-6ccda88ea467,10.png,True,https://cdn.customily.com/product-images/3b0e01de-45f0-428d-a8e4-6ccda88ea467-3b0e01de-45f0-428d-a8e4-6ccda88ea467.png
11,9de91082-ef3a-4-f157f8aa-9eb5-42f3-a39b-a9c1fd37c776,11.jpg,True,https://cdn.customily.com/product-images/9de91082-ef3a-4-f157f8aa-9eb5-42f3-a39b-a9c1fd37c776.jpg
